gene_name,pvalue,log2FoldChange,disease,cell_type
BUD31,0.004343312,0.079969399,ALS,iPSMN
PNMA8B,0.004379169,-0.125786304,ALS,iPSMN
SYNJ1,0.004448681,0.089906767,ALS,iPSMN
GPC1,0.004452652,-0.103902755,ALS,iPSMN
MAMDC2,0.004456241,0.289798928,ALS,iPSMN
ZNF497,0.004497689,-0.148407974,ALS,iPSMN
SHISA9,0.004497729,0.344993394,ALS,iPSMN
RPA2P3,0.00449952,-0.492357494,ALS,iPSMN
AP001033.5,0.004505379,0.247722471,ALS,iPSMN
GGCT,0.004506898,0.095304285,ALS,iPSMN
AC106038.1,0.004509203,-0.222347517,ALS,iPSMN
DLL3,0.004518217,-0.200876079,ALS,iPSMN
PLA2G4C,0.004527292,0.23205508,ALS,iPSMN
AC092431.2,0.004528898,-0.476489905,ALS,iPSMN
